empid,lastName,firstName,emptype,cellphone,homephone,ftpt
919675,Cermak,Vern,LPN,(138)7198-0862,(655)2249-9926,FT
906704,Paille,Lorilee,NA,(858)1100-2722,(377)1506-1986,PT
900486,Ober,Shalanda,NA,(210)1508-8132,(820)1612-0197,FT
883367,Clyburn,Jeffry,LPN,(420)7798-7220,(476)7661-3070,FT
953807,Quarles,Timmy,LPN,(513)2756-9892,(562)9034-2889,FT
919847,Gabel,Huong,NA,(594)6023-0061,(119)3999-2856,FT
903447,Perrino,Casandra,NA,(139)2358-8977,(718)1740-1625,PT
893757,Partin,Leigha,RN,(976)6535-0004,(432)6149-6332,PT
937181,Hauck,Kenton,LPN,(670)0980-0771,(810)7156-7877,FT
864272,Catanzaro,Imelda,NA,(220)3748-1866,(none),FT
995636,Pye,Deanna,NA,(667)1285-0361,(798)9632-1695,FT
957335,Mullally,Vennie,LPN,(636)8932-9613,(273)2705-3351,FT
964932,Harps,Gigi,LPN,(none),(none),PT
967577,Swallow,Oralia,RN,(141)8662-6336,(323)1942-4622,FT
881626,Sisk,Ernesto,NA,(090)2314-3403,(707)3963-8331,FT
860127,Mersch,Carmel,RN,(327)6635-0934,(134)4896-4407,FT
929086,Noonkester,Asa,LPN,(175)3537-5067,(235)4755-7123,FT
953817,Harwell,Nadene,RN,(009)5996-2289,(971)8991-7219,FT
940824,Loranger,Junita,RN,(734)3149-1859,(687)5406-3407,FT
878397,Whitmarsh,Mikel,NA,(754)5317-0529,(944)6508-0936,PT
856661,Rabb,Stephan,NA,(834)8696-0576,(179)0899-8188,FT
854480,Locke,Remona,RN,(579)6658-7315,(446)4941-2224,FT
913891,Warn,Loraine,LPN,(390)2682-4217,(887)5964-5352,FT
951876,Probert,Rubye,LPN,(021)0487-5643,(791)2336-7809,FT
898057,Blagg,Lorenzo,RN,(863)2419-9105,(895)8326-8650,PT
883069,Deines,Pamella,RN,(701)1145-5661,(776)9753-5623,FT
883577,Ewell,Madalyn,LPN,(017)3957-5472,(none),FT
921331,Beaver,Viva,RN,(612)7951-8931,(936)2330-1746,PT
891330,Desouza,Margery,NA,(869)0433-6907,(731)5731-5658,FT
857230,He,Kimiko,NA,(229)8178-0836,(537)0119-7366,FT
868513,Mcclelland,Barton,NA,(none),(022)5898-9980,FT
930132,Patz,Kelsi,LPN,(none),(545)4986-0840,PT
945540,Stager,Roderick,RN,(943)0469-0543,(535)0157-4586,PT
939148,Liberto,Delta,NA,(283)9948-9290,(328)5167-5267,FT
941663,Nalley,Charlott,LPN,(649)5500-9954,(179)3419-7846,FT
853537,Zaragoza,Manie,NA,(394)2952-7760,(134)0381-5506,FT
876775,Palm,Dorie,LPN,(778)4897-0071,(412)3356-5570,FT
943023,Hinze,Mark,LPN,(013)4803-9315,(806)3400-5031,FT
864425,Witham,Colby,RN,(818)7106-4594,(045)4341-4950,FT
859272,Netter,Almeda,NA,(577)9992-5820,(307)0089-6868,FT
886190,Ault,Rosendo,LPN,(571)7252-4785,(712)8099-2576,PT
876713,Concannon,Jeannette,NA,(177)0601-0951,(453)6613-4503,FT
995561,Labarre,Virgina,NA,(850)7730-3834,(none),FT
884866,Spies,Shera,RN,(863)0328-8713,(667)7802-6873,PT
945520,Crigger,Maudie,LPN,(460)4688-5945,(986)9104-5913,FT
992463,Goode,Rex,LPN,(392)8146-3039,(729)0964-2521,FT
891046,Hessler,Latina,RN,(082)5555-2237,(176)2884-1327,PT
979951,Berryman,Sabrina,LPN,(806)6465-4545,(333)7272-2109,PT
971559,Mumaw,Marylin,RN,(374)2407-1736,(425)7775-0319,FT
948273,Petties,Rachelle,RN,(673)3119-4524,(565)7477-0727,FT
